Tipus pla,Número d'inscripció,Nom del pla,Estat,Data d'homologació,Últim esdeveniment,Data de l'últim esdeveniment,Ine5,Municipi,Comarca,Servei territorial,Vegueria,Província
E,8681,PAM INUNCAT  El Vendrell,Homologat,10/12/2021,Homologació,10/12/2021,43163,Vendrell,Baix Penedès,Tarragona,Penedès,Tarragona
E,3914,PAM INFOCAT Gombrèn,Homologat pendent de revisió,21/06/2012,Homologació,21/06/2012,17080,Gombrèn,Ripollès,Girona,Girona,Girona
F,3344,PEM Fira del Cavall a Cambrils,Homologat pendent de revisió,27/07/2011,Homologació,27/07/2011,43038,Cambrils,Baix Camp,Tarragona,Tarragona,Tarragona
E,8098,PAM TRANSCAT Cercs,Homologat,10/12/2021,Homologació,10/12/2021,08268,Cercs,Berguedà,Catalunya Central,Catalunya Central,Barcelona
E,9088,PAM PLASEQCAT Olèrdola,Homologat,10/03/2022,Homologació,10/03/2022,08145,Olèrdola,Alt Penedès,Barcelona,Penedès,Barcelona
E,44,PAM INFOCAT L'Ametlla de Mar,Homologat pendent de revisió,28/01/1999,Homologació,28/01/1999,43013,Ametlla de Mar,Baix Ebre,Terres de l'Ebre,Terres de l'Ebre,Tarragona
E,10254,PAM VENTCAT Alàs i Cerc,Homologat,06/10/2022,Homologació,06/10/2022,25005,Alàs i Cerc,Alt Urgell,Alt Pirineu i Aran,Alt Pirineu i Aran,Lleida
E,2828,PAM CAMCAT Vila-seca,Homologat pendent de revisió,18/02/2010,Homologació,18/02/2010,43171,Vila-seca,Tarragonès,Tarragona,Tarragona,Tarragona
T,8233,PBEM Premià de Mar,Homologat pendent de revisió,21/03/2019,Actualització,10/12/2021,08172,Premià de Mar,Maresme,Barcelona,Barcelona,Barcelona
T,521,PBEM Vacarisses,Homologat pendent de revisió,19/03/1998,Homologació,19/03/1998,08291,Vacarisses,Vallès Occidental,Barcelona,Barcelona,Barcelona
E,10283,PAM VENTCAT Avià,Homologat,06/10/2022,Homologació,06/10/2022,08011,Avià,Berguedà,Catalunya Central,Catalunya Central,Barcelona
E,5126,PAM PLASEQCAT Castellbisbal,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,08054,Castellbisbal,Vallès Occidental,Barcelona,Barcelona,Barcelona
T,1999,PBEM Llagostera,Homologat pendent de revisió,10/07/2008,Homologació,10/07/2008,17089,Llagostera,Gironès,Girona,Girona,Girona
E,5815,PAM NEUCAT Callús,Homologat pendent de revisió,21/03/2019,Actualització,30/10/2020,08038,Callús,Bages,Catalunya Central,Catalunya Central,Barcelona
E,3067,PAM SISMICAT Vilanova i la Geltrú,Homologat pendent de revisió,27/07/2011,Homologació,27/07/2011,08307,Vilanova i la Geltrú,Garraf,Barcelona,Penedès,Barcelona
E,6556,PAM VENTCAT Roda de Berà,Homologat,30/10/2020,Homologació,30/10/2020,43131,Roda de Berà,Tarragonès,Tarragona,Tarragona,Tarragona
E,1158,PAM INFOCAT Cunit,Homologat pendent de revisió,21/12/2005,Homologació,21/12/2005,43051,Cunit,Baix Penedès,Tarragona,Penedès,Tarragona
E,10333,PAM INUNCAT Castellolí,Homologat,06/10/2022,Homologació,06/10/2022,08063,Castellolí,Anoia,Catalunya Central,Penedès,Barcelona
E,6503,PAM NEUCAT Tarrés,Homologat,30/10/2020,Homologació,30/10/2020,25218,Tarrés,Garrigues,Lleida,Lleida,Lleida
E,4987,PA PROCICAT - Transport  Viatgers Ferrocarril Mollet del Vallès,Homologat pendent de revisió,25/05/2017,Homologació,25/05/2017,08124,Mollet del Vallès,Vallès Oriental,Barcelona,Barcelona,Barcelona
F,4140,PEM Àrees pública concurrència - Festa Major Corbera de Llobregat,Homologat pendent de revisió,03/10/2013,Homologació,03/10/2013,08072,Corbera de Llobregat,Baix Llobregat,Barcelona,Barcelona,Barcelona
E,5121,PAM TRANSCAT Castellar del Vallès,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,08051,Castellar del Vallès,Vallès Occidental,Barcelona,Barcelona,Barcelona
E,5493,PAM INFOCAT Balaguer,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,25040,Balaguer,Noguera,Lleida,Lleida,Lleida
E,10260,PAM SISMICAT Alcanar,Homologat,06/10/2022,Homologació,06/10/2022,43004,Alcanar,Montsià,Terres de l'Ebre,Terres de l'Ebre,Tarragona
E,5190,PAM TRANSCAT Terrassa,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,08279,Terrassa,Vallès Occidental,Barcelona,Barcelona,Barcelona
T,4952,PBEM Preixens,Homologat pendent de revisió,25/05/2017,Homologació,25/05/2017,25177,Preixens,Noguera,Lleida,Lleida,Lleida
E,8604,PAM INFOCAT Falset,Homologat,10/12/2021,Homologació,10/12/2021,43055,Falset,Priorat,Tarragona,Tarragona,Tarragona
E,2974,PAM SISMICAT Canovelles,Homologat pendent de revisió,03/11/2010,Homologació,03/11/2010,08041,Canovelles,Vallès Oriental,Barcelona,Barcelona,Barcelona
E,8289,PAM RADCAT Santa Coloma de Gramenet,Homologat,10/12/2021,Homologació,10/12/2021,08245,Santa Coloma de Gramenet,Barcelonès,Barcelona,Barcelona,Barcelona
T,1173,PBEM La Garriga,Homologat pendent de revisió,16/02/2006,Actualització,17/12/2009,08088,Garriga,Vallès Oriental,Barcelona,Barcelona,Barcelona
F,4291,PEM Àrees pública concurrència - Cavalcada de Reis de Solsona,Homologat pendent de revisió,24/04/2014,Homologació,24/04/2014,25207,Solsona,Solsonès,Catalunya Central,Catalunya Central,Lleida
E,6308,PAM INUNCAT Cambrils,Homologat,28/02/2020,Homologació,28/02/2020,43038,Cambrils,Baix Camp,Tarragona,Tarragona,Tarragona
T,1232,PBEM Begues,Homologat pendent de revisió,25/04/2006,Homologació,25/04/2006,08020,Begues,Baix Llobregat,Barcelona,Barcelona,Barcelona
E,6249,PAM PLASEQCAT Puig-reig,Homologat,28/02/2020,Homologació,28/02/2020,08175,Puig-reig,Berguedà,Catalunya Central,Catalunya Central,Barcelona
E,6603,PAM SISMICAT Brunyola,Homologat,22/12/2020,Homologació,22/12/2020,17028,Brunyola i Sant Martí Sapresa,Selva,Girona,Girona,Girona
T,1209,PBEM Almacelles,Homologat pendent de revisió,16/02/2006,Homologació,16/02/2006,25019,Almacelles,Segrià,Lleida,Lleida,Lleida
E,2945,PAM TRANSCAT Sant Joan de les Abadesses,Homologat pendent de revisió,08/09/2010,Homologació,08/09/2010,17167,Sant Joan de les Abadesses,Ripollès,Girona,Girona,Girona
E,4309,PAM INFOCAT Rasquera,Homologat pendent de revisió,24/04/2014,Homologació,24/04/2014,43121,Rasquera,Ribera d'Ebre,Terres de l'Ebre,Terres de l'Ebre,Tarragona
E,5940,PAM INFOCAT Freginals,Homologat pendent de revisió,21/03/2019,Homologació,21/03/2019,43062,Freginals,Montsià,Terres de l'Ebre,Terres de l'Ebre,Tarragona
E,5563,PAM INFOCAT Peramola,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,25165,Peramola,Alt Urgell,Alt Pirineu i Aran,Alt Pirineu i Aran,Lleida
E,5370,PAM SISMICAT Fogars de la Selva,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,08082,Fogars de la Selva,Selva,Girona,Girona,Barcelona
T,10478,PA PROCICAT - Emergències Episodis Contaminació a l'Ebre Roquetes,Homologat,06/10/2022,Homologació,06/10/2022,43133,Roquetes,Baix Ebre,Terres de l'Ebre,Terres de l'Ebre,Tarragona
T,5280,PBEM Roda de Ter,Homologat pendent de revisió,05/12/2018,Actualització,10/12/2121,08183,Roda de Ter,Osona,Catalunya Central,Catalunya Central,Barcelona
E,5251,PAM PLASEQCAT Igualada,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,08102,Igualada,Anoia,Catalunya Central,Penedès,Barcelona
E,10618,PAM INFOCAT Vilademuls,Homologat,06/10/2022,Homologació,06/10/2022,17218,Vilademuls,Pla de l'Estany,Girona,Girona,Girona
E,1752,PAM SISMICAT Moià,Homologat pendent de revisió,20/12/2007,Homologació,20/12/2007,08138,Moià,Moianès,Catalunya Central,Catalunya Central,Barcelona
E,5479,PAM NEUCAT Algerri,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,25015,Algerri,Noguera,Lleida,Lleida,Lleida
T,3915,PBEM Les Planes d'Hostoles,Homologat pendent de revisió,21/06/2012,Homologació,21/06/2012,17133,Planes d'Hostoles,Garrotxa,Girona,Girona,Girona
E,9080,PAM SISMICAT Les Avellanes i Santa Linya,Homologat,10/03/2022,Revisió,10/03/2022,25037,Avellanes i Santa Linya,Noguera,Lleida,Lleida,Lleida
E,10576,PAM NEUCAT Vilada,Homologat,06/10/2022,Homologació,06/10/2022,08299,Vilada,Berguedà,Catalunya Central,Catalunya Central,Barcelona
E,4603,PAM AEROCAT Sant Gregori,Homologat pendent de revisió,11/06/2015,Homologació,11/06/2015,17163,Sant Gregori,Gironès,Girona,Girona,Girona
E,6361,PAM TRANSCAT El Prat de Llobregat,Homologat,30/10/2020,Homologació,30/10/2020,08169,Prat de Llobregat,Baix Llobregat,Barcelona,Barcelona,Barcelona
T,10379,PA PROCICAT - Malalties Transmissibles Emergents Alt Risc Guixers,Homologat,06/10/2022,Homologació,06/10/2022,25111,Guixers,Solsonès,Catalunya Central,Catalunya Central,Lleida
E,4706,PAM NEUCAT Albatàrrec,Homologat pendent de revisió,14/09/2016,Homologació,14/09/2016,25007,Albatàrrec,Segrià,Lleida,Lleida,Lleida
E,9034,PAM TRANSCAT Tàrrega,Homologat,10/03/2022,Homologació,10/03/2022,25217,Tàrrega,Urgell,Lleida,Lleida,Lleida
E,8331,PAM NEUCAT Vilafranca del Penedès,Homologat,10/12/2021,Homologació,10/12/2021,08305,Vilafranca del Penedès,Alt Penedès,Barcelona,Penedès,Barcelona
E,3709,PA PROCICAT - Emergències Episodis Contaminació a l'Ebre d'Ascó,Homologat pendent de revisió,16/02/2012,Actualització,28/02/2020,43019,Ascó,Ribera d'Ebre,Terres de l'Ebre,Terres de l'Ebre,Tarragona
T,7967,PA PROCICAT - Malalties Transmissibles Emergents Alt Risc Aguilar de Segarra,Homologat pendent de revisió,05/12/2018,Actualització,10/12/2021,08002,Aguilar de Segarra,Bages,Catalunya Central,Catalunya Central,Barcelona
T,2907,PBEM Campdevànol,Homologat pendent de revisió,08/09/2010,Homologació,08/09/2010,17036,Campdevànol,Ripollès,Girona,Girona,Girona
E,8241,PAM SISMICAT Sant Adrià de Besòs,Homologat,10/12/2021,Homologació,10/12/2021,08194,Sant Adrià de Besòs,Barcelonès,Barcelona,Barcelona,Barcelona
E,3446,PAM INUNCAT Fornells de la Selva,Homologat pendent de revisió,20/10/2011,Homologació,20/10/2011,17073,Fornells de la Selva,Gironès,Girona,Girona,Girona
E,6215,PAM SISMICAT Coll de Nargó,Homologat,28/02/2020,Homologació,28/02/2020,25077,Coll de Nargó,Alt Urgell,Alt Pirineu i Aran,Alt Pirineu i Aran,Lleida
E,8247,PAM INUNCAT  Sant Andreu de la Barca,Homologat,10/12/2021,Homologació,10/12/2021,08196,Sant Andreu de la Barca,Baix Llobregat,Barcelona,Barcelona,Barcelona
F,2248,PEM Concerts i espectacles a l'aire lliure de L'Estany,Homologat pendent de revisió,18/12/2008,Homologació,18/12/2008,08079,Estany,Moianès,Catalunya Central,Catalunya Central,Barcelona
E,5604,PAM NEUCAT Vilagrassa,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,25244,Vilagrassa,Urgell,Lleida,Lleida,Lleida
E,8677,PAM VENTCAT Vallfogona de Riucorb,Homologat,10/12/2021,Homologació,10/12/2021,43159,Vallfogona de Riucorb,Conca de Barberà,Tarragona,Tarragona,Tarragona
E,5920,PAM SISMICAT Vilaverd,Homologat pendent de revisió,21/03/2019,Homologació,21/03/2019,43172,Vilaverd,Conca de Barberà,Tarragona,Tarragona,Tarragona
E,8796,PAM NEUCAT Òdena,Homologat,10/12/2021,Homologació,10/12/2021,08143,Òdena,Anoia,Catalunya Central,Penedès,Barcelona
E,8001,PAM NEUCAT Bellcaire d'Empordà,Homologat,10/12/2021,Revisió,10/12/2021,17018,Bellcaire d'Empordà,Baix Empordà,Girona,Girona,Girona
E,2509,PAM INFOCAT Talarn,Homologat pendent de revisió,09/07/2009,Homologació,09/07/2009,25215,Talarn,Pallars Jussà,Alt Pirineu i Aran,Alt Pirineu i Aran,Lleida
E,5223,PAM NEUCAT Castellnou de Bages,Homologat pendent de revisió,05/12/2018,Actualització,22/12/2020,08062,Castellnou de Bages,Bages,Catalunya Central,Catalunya Central,Barcelona
E,5814,PAM INFOCAT Callús,Homologat pendent de revisió,21/03/2019,Actualització,30/10/2020,08038,Callús,Bages,Catalunya Central,Catalunya Central,Barcelona
E,2212,PAM INUNCAT Albanyà,Homologat pendent de revisió,18/12/2008,Homologació,18/12/2008,17003,Albanyà,Alt Empordà,Girona,Girona,Girona
E,4292,PAM INFOCAT Rubió,Homologat pendent de revisió,24/04/2014,Homologació,24/04/2014,08185,Rubió,Anoia,Catalunya Central,Penedès,Barcelona
E,1844,PAM PLASEQCAT Portbou,Homologat pendent de revisió,14/02/2008,Homologació,14/02/2008,17138,Portbou,Alt Empordà,Girona,Girona,Girona
E,6598,PAM SISMICAT Jorba,Homologat,22/12/2020,Homologació,22/12/2020,08103,Jorba,Anoia,Catalunya Central,Penedès,Barcelona
E,6559,PAM NEUCAT Santa Eulàlia de Riuprimer,Homologat,02/12/2020,Homologació,02/12/2020,08247,Santa Eulàlia de Riuprimer,Osona,Catalunya Central,Catalunya Central,Barcelona
E,10273,PAM SISMICAT Arenys de Munt,Homologat,06/10/2022,Homologació,06/10/2022,08007,Arenys de Munt,Maresme,Barcelona,Barcelona,Barcelona
E,8565,PAM NEUCAT Montoliu de Segarra,Homologat,10/12/2021,Revisió,10/12/2021,25141,Montoliu de Segarra,Segarra,Lleida,Lleida,Lleida
E,10556,PAM INUNCAT Sils,Homologat,06/10/2022,Homologació,06/10/2022,17193,Sils,Selva,Girona,Girona,Girona
E,1182,PAM INUNCAT Manresa,Homologat pendent de revisió,16/02/2006,Homologació,16/02/2006,08113,Manresa,Bages,Catalunya Central,Catalunya Central,Barcelona
E,3614,PAM NEUCAT La Bisbal de Falset,Homologat pendent de revisió,15/12/2011,Homologació,15/12/2011,43027,Bisbal de Falset,Priorat,Tarragona,Tarragona,Tarragona
E,5353,PAM TRANSCAT Colomers,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,17055,Colomers,Baix Empordà,Girona,Girona,Girona
E,8603,PAM VENTCAT El Montmell,Homologat,10/12/2021,Homologació,10/12/2021,43090,Montmell,Baix Penedès,Tarragona,Penedès,Tarragona
T,8368,PA PROCICAT - Malalties Transmissibles Emergents Alt Risc Sant Hipòlit de Voltregà,Homologat,10/12/2021,Homologació,10/12/2021,08215,Sant Hipòlit de Voltregà,Osona,Catalunya Central,Catalunya Central,Barcelona
E,153,PAM INFOCAT Fogars de Montclús,Homologat pendent de revisió,03/11/1998,Homologació,03/11/1998,08081,Fogars de Montclús,Vallès Oriental,Barcelona,Barcelona,Barcelona
E,2177,PA PROCICAT - Emergències Episodis Contaminació a l'Ebre de Flix,Homologat pendent de revisió,09/10/2008,Homologació,09/10/2008,43060,Flix,Ribera d'Ebre,Terres de l'Ebre,Terres de l'Ebre,Tarragona
E,6511,PA PROCICAT - Emergències Episodis Contaminació a l'Ebre d'Albinyana,Homologat,30/10/2020,Homologació,30/10/2020,43002,Albinyana,Baix Penedès,Tarragona,Penedès,Tarragona
E,10467,PAM NEUCAT Pontons,Homologat,06/10/2022,Homologació,06/10/2022,08168,Pontons,Alt Penedès,Barcelona,Penedès,Barcelona
E,2942,PAM NEUCAT Queralbs,Homologat pendent de revisió,08/09/2010,Homologació,08/09/2010,17043,Queralbs,Ripollès,Girona,Girona,Girona
E,5887,PAM SISMICAT Cabra del Camp,Homologat pendent de revisió,21/03/2019,Homologació,21/03/2019,43036,Cabra del Camp,Alt Camp,Tarragona,Tarragona,Tarragona
F,1235,PEM per a Persones Perdudes al Bosc Begues,Homologat pendent de revisió,25/04/2006,Homologació,25/04/2006,08020,Begues,Baix Llobregat,Barcelona,Barcelona,Barcelona
E,5452,PAM NEUCAT Tortellà,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,17200,Tortellà,Garrotxa,Girona,Girona,Girona
E,8296,PAM NEUCAT Santa Perpètua de Mogoda,Homologat,10/12/2021,Homologació,10/12/2021,08260,Santa Perpètua de Mogoda,Vallès Occidental,Barcelona,Barcelona,Barcelona
F,3339,PEM Transegre Camarasa,Homologat pendent de revisió,27/07/2011,Homologació,27/07/2011,25062,Camarasa,Noguera,Lleida,Lleida,Lleida
E,290,PAM INFOCAT Roca del Vallès,Homologat pendent de revisió,17/02/2000,Homologació,17/02/2000,08181,Roca del Vallès,Vallès Oriental,Barcelona,Barcelona,Barcelona
T,2728,PBEM Cantallops,Homologat pendent de revisió,17/12/2009,Homologació,17/12/2009,17041,Cantallops,Alt Empordà,Girona,Girona,Girona
E,6306,PA PROCICAT - Transport Viatgers Ferrocarril de Cambrils,Homologat,28/02/2020,Homologació,28/02/2020,43038,Cambrils,Baix Camp,Tarragona,Tarragona,Tarragona
E,3896,PAM INFOCAT Vilanova de Prades,Homologat pendent de revisió,26/04/2012,Homologació,26/04/2012,43168,Vilanova de Prades,Conca de Barberà,Tarragona,Tarragona,Tarragona
